Lambda	mean_reco_loss	mean_prior_loss	mean_std_H	std_reco_loss	std_prior_loss	std_std_H	corr_H	corr_W	std_corr_h	std_corr_w
0.1	0.006736990577207903	0.04053094503404294	2.0523123024759706	8.673617379884035e-19	0.0	0.0	0.0021285534662415302	0.4674403356385575	0.0	0.0
0.24484367468222268	0.006693065780057203	0.02463725240008762	2.618785681653237	8.673617379884035e-19	0.0	0.0	0.0055993277797656334	0.5109676741183357	0.0	0.0
0.599484250318941	0.006524339728765244	0.025764660800596594	2.205267341443625	8.673617379884035e-19	3.469446951953614e-18	0.0	0.1640421250644796	0.673158824307667	0.0	0.0
1.4677992676220697	0.006847487862301804	0.014101218427374867	3.457306083923259	8.673617379884035e-19	1.734723475976807e-18	0.0	0.2562424645859739	0.6320453071015989	0.0	0.0
3.5938136638046276	0.015530449595953622	0.007869766854725718	5.20603021646154	0.0	0.0	0.0	0.2745402002289831	0.546475749075315	0.0	0.0
8.79922543569107	0.020744215858578333	0.003358368914438573	8.493195632587241	0.0	4.336808689942018e-19	0.0	0.7108540366400926	0.6367827695304226	0.0	0.0
21.544346900318846	0.021261980116257566	0.0016581780204567985	11.96918017607703	0.0	2.168404344971009e-19	0.0	0.5798831559932687	0.6794083804905827	0.0	0.0
52.749970637026195	0.022146831199714587	0.0011840834642530143	14.05526841374793	0.0	0.0	0.0	0.467396629426683	0.7053594050638504	5.551115123125783e-17	0.0
129.1549665014884	0.02337351506211603	0.0007557322612101	17.433470780312586	0.0	0.0	0.0	0.7606585569022567	0.7414837943779676	0.0	0.0
316.22776601683796	0.024195621548346317	0.0004380350155188446	22.87470238488095	0.0	0.0	0.0	0.6765952062729657	0.7314470614945333	0.0	0.0
